,displayName,description,abbreviation,value,perGameValue,rank
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,25.0,1.0,5
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,8.0,,20
2,Forced Fumbles,The total number of forced fumbles.,FF,13.0,,35
3,Fumbles Recovered,The number of fumbles recovered.,FR,9.0,1.0,17
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,2.0,,2
5,Games Played,Games Played,GP,17.0,,1
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,0.0,,5
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,2.0,,2
0,Average Gain,The average gained yards per position.,AG,500.82,,31
1,Completion Percentage,The percentage of completed passes.,CMP%,65.211,65.56199645996094,15
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,433.0,25.0,5
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,4646.0,,22
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,2.56,2.75600004196167,19
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,17.0,1.0,28
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,77.0,33.0,6
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1
8,Net Passing Yards,The amount of net passing yards.,NYDS,3626.0,213.0,18
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,213.29411,,18
10,Net Total Yards,The amount of net total yards.,NTYDS,5499.0,,22
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,323.47058,,22
12,Passing Attempts,The number of times a pass is attempted.,ATT,664.0,39.0,4
13,Passing Big Plays,The number of times a pass results in a big play.,BIGP,40.0,,27
14,Passing 1st downs,The number of times a pass results in a first down.,FIRST,189.0,11.0,16
15,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,8.0,,17
16,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,3.0,,26
17,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,2.56,2.5641026496887207,30
18,Passing Touchdowns,The total number of passing touchdowns.,TD,17.0,1.0,24
19,Passing Yards,The total passing yards.,YDS,3966.0,233.0,17
20,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,2059.0,,8
21,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,1907.0,,22
22,Passing Yards Per Game,The number of passing yards per game.,YDS/G,233.294,,17
23,Passer Rating,Passer Rating,RTG,79.18,78.9695053100586,79
24,Total Sacks,The total number of sacks.,SACK,46.0,2.0,9
25,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,340.0,20.0,27
26,Net Passing Attempts,Net Passing Attempts.,NATT,710.0,41.0,5
27,Team Games Played,The amount of games played.,TGP,17.0,,1
28,Total Offensive Plays,The number of total offensive plays.,TOP,1144.0,66.0,14
29,Total Points,The number of total points scored.,PTS,340.0,19.0,21
30,Total Points Per Game,The number of points scored per game.,TP,20.0,,21
31,Total Touchdowns,The number of touchdowns scored in total.,TD,37.0,2.0,19
32,Total Yards,The number of yards accumulated in total.,TYDS,5839.0,323.0,22
33,Total Yards From Scrimmage,The amound of total yards from the line of scrimmage.,CMP,0.0,,1
34,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,-1.0,-1.0,1
35,Two Point Pass,The number of times a pass was thrown for 2 points.,2PTP,3.0,,1
36,Two Point Pass Attempts,The number of times a pass was attempted on a 2-point conversion.,2PTPA,7.0,1.0,1
37,Yards From Scrimmage Per Game,The yards gained from scrimmage per game.,SCRIM/G,0.0,,1
38,Yards Per Completion,The average number of yards per pass completion.,CMP,9.159,8.427000045776367,32
39,Yards Per Game,The average number of yards per game.,YDS/G,343.471,,22
40,Yards Per Pass Attempt,The average number yards per pass attempt.,AVG,5.973,6.045000076293945,32
41,Net Yards Per Pass Attempt,The average number net yards (taking sack yardage into account) per pass attempt.,NYDS/PA,5.107042253521127,5.195121951219512,31
42,Quarterback Rating,Quarterback Rating.,RAT,79.18,78.9695053100586,79
0,Average Gain,The average gained yards per position.,AG,500.82,,31
1,ESPN RB Rating,The ESPN Widereceiver Rating.,ESPNRB,2278.0,,20
2,Long Rushing,The amount of yards for the longest run.,LNG,45.0,19.0,23
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1
4,Net Total Yards,The amount of total net yards.,NTYDS,5499.0,,22
5,Net Yards Per Game,The total net yards gained per game.,CMP,323.47058,,22
6,Rushing Attempts,The total number of attempted rushes.,ATT,434.0,25.0,19
7,20+ Yard Rushing Plays,The number of rushing big plays gained.,BIG,9.0,,20
8,Rushing 1st downs,The number of times a first down is picked up by a run.,FD,115.0,6.0,15
9,Rushing Fumbles,The number of times there is a run and then the ball is fumbled.,FUM,9.0,,20
10,Rushing Fumbles Lost,The number of times there is a run and then the ball is fumbled.,LST,3.0,,6
11,Rushing Touchdowns,The total number of rushing touchdowns.,TD,15.0,,15
12,Rushing Yards,The total rushing yards.,YDS,1873.0,110.0,22
13,Rushing Yards Per Game,The average number of rushing yards per game.,YDS/G,110.176,,22
14,Stuffs,The number of times a run is stopped at or behind the line of scrimmage.,STF,44.0,,24
15,Stuff Yards Lost,The number of yards lost when a run is stuffed.,SYDSL,-87.0,,10
16,Team Games Played,The numbers of team games played.,GP,17.0,,1
17,Total Offensive Plays,The number of offenseive plays run.,OP,1144.0,66.0,14
18,Total Points,The number of total points earned.,PTS,340.0,19.0,21
19,Total Points Per Game,The average number of points scored per game.,TP/G,20.0,,21
20,Total Touchdowns,The number of total Touchdowns scored.,TD,37.0,2.0,19
21,Total Yards,The number of total yards gained.,TYDS,5839.0,323.0,22
22,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1
23,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTC,-1.0,-1.0,1
24,Two Point Rush,The number of rushes on 2-point attempts.,2PTR,2.0,1.0,2
25,Two Point Rush Attempts,The number of times a 2-point conversion is attempted with a rush.,CMP,2.0,1.0,4
26,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1
27,Yards Per Game,The average number of yards per game.,YDS/G,343.471,,22
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,4.316,4.281000137329102,20
0,Average Gain,The average gained yards per position.,AG,500.82,,31
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,6726.0,,14
2,Long Reception,The amount of yards for the longest reception.,LNG,77.0,33.0,6
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1
4,Net Total Yards,The amount of total net yards.,NTYDS,5499.0,,22
5,Net Yards Per Game,The total net yards gained per game.,CMP,323.47058,,22
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,40.0,,27
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,189.0,,16
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,8.0,,17
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,3.0,,26
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,635.0,37.0,4
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,17.0,1.0,24
12,Receiving Yards,The total receiving yards.,YDS,3966.0,233.0,17
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,2058.0,121.0,8
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,1908.0,,22
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,233.294,,17
16,Receptions,The total number of receptions.,REC,433.0,25.0,5
17,Team Games Played,The numbers of team games played.,GP,17.0,,1
18,Total Offensive Plays,The number of offenseive plays run.,OP,1144.0,66.0,14
19,Total Points,The number of total points earned.,PTS,340.0,19.0,21
20,Total Points Per Game,The average number of points scored per game.,TP/G,20.0,,21
