,displayName,description,abbreviation,value,perGameValue,rank
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,15.0,1.0,30
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,9.0,,14
2,Forced Fumbles,The total number of forced fumbles.,FF,12.0,,39
3,Fumbles Recovered,The number of fumbles recovered.,FR,9.0,,17
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,2.0,,2
5,Games Played,Games Played,GP,17.0,,1
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,0.0,,5
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,2.0,,2
0,Average Gain,The average gained yards per position.,AG,553.545,,20
1,Completion Percentage,The percentage of completed passes.,CMP%,62.037,62.5,24
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,335.0,19.0,27
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,4680.0,,20
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,2.222,2.234999895095825,13
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,12.0,,10
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,55.0,35.0,28
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1
8,Net Passing Yards,The amount of net passing yards.,NYDS,3444.0,202.0,22
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,202.58824,,22
10,Net Total Yards,The amount of net total yards.,NTYDS,5934.0,,13
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,349.05884,,14
12,Passing Attempts,The number of times a pass is attempted.,ATT,540.0,31.0,21
13,Passing Big Plays,The number of times a pass results in a big play.,BIGP,44.0,,23
14,Passing 1st downs,The number of times a pass results in a first down.,FIRST,182.0,10.0,21
15,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,8.0,,17
16,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,6.0,,5
17,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,3.519,3.22580623626709,20
18,Passing Touchdowns,The total number of passing touchdowns.,TD,19.0,1.0,19
19,Passing Yards,The total passing yards.,YDS,3710.0,218.0,23
20,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,1639.0,,25
21,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,2071.0,,18
22,Passing Yards Per Game,The number of passing yards per game.,YDS/G,218.235,,23
23,Passer Rating,Passer Rating,RTG,84.87749,85.1026840209961,27
24,Total Sacks,The total number of sacks.,SACK,44.0,2.0,11
25,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,266.0,15.0,17
26,Net Passing Attempts,Net Passing Attempts.,NATT,584.0,33.0,32
27,Team Games Played,The amount of games played.,TGP,17.0,,1
28,Total Offensive Plays,The number of total offensive plays.,TOP,1116.0,64.0,27
29,Total Points,The number of total points scored.,PTS,361.0,21.0,18
30,Total Points Per Game,The number of points scored per game.,TP,21.235,,18
