,displayName,description,abbreviation,value,perGameValue,rank
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,26.0,1.0,4
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,9.0,,14
2,Forced Fumbles,The total number of forced fumbles.,FF,18.0,,16
3,Fumbles Recovered,The number of fumbles recovered.,FR,8.0,1.0,22
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,0.0,,15
5,Games Played,Games Played,GP,17.0,,1
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,0.0,,5
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,0.0,,15
0,Average Gain,The average gained yards per position.,AG,544.532,,23
1,Completion Percentage,The percentage of completed passes.,CMP%,60.42,61.19900131225586,29
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,345.0,20.0,23
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,4817.0,,18
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,2.627,2.5220000743865967,22
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,15.0,,22
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,67.0,43.0,15
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1
8,Net Passing Yards,The amount of net passing yards.,NYDS,3592.0,211.0,19
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,211.29411,,19
10,Net Total Yards,The amount of net total yards.,NTYDS,5527.0,,21
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,325.11765,,21
12,Passing Attempts,The number of times a pass is attempted.,ATT,571.0,33.0,16
13,Passing Big Plays,The number of times a pass results in a big play.,BIGP,55.0,,9
14,Passing 1st downs,The number of times a pass results in a first down.,FIRST,166.0,9.0,25
15,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,6.0,,27
16,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,3.0,,26
17,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,3.152,3.0303030014038086,27
18,Passing Touchdowns,The total number of passing touchdowns.,TD,18.0,1.0,23
19,Passing Yards,The total passing yards.,YDS,4007.0,235.0,15
20,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,1988.0,,11
21,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,2019.0,,20
22,Passing Yards Per Game,The number of passing yards per game.,YDS/G,235.706,,15
23,Passer Rating,Passer Rating,RTG,81.23583,82.88768005371094,79
24,Total Sacks,The total number of sacks.,SACK,63.0,3.0,1
25,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,415.0,24.0,31
26,Net Passing Attempts,Net Passing Attempts.,NATT,634.0,36.0,15
27,Team Games Played,The amount of games played.,TGP,17.0,,1
28,Total Offensive Plays,The number of total offensive plays.,TOP,1078.0,62.0,2
29,Total Points,The number of total points scored.,PTS,287.0,16.0,32
30,Total Points Per Game,The number of points scored per game.,TP,16.882,,32
31,Total Touchdowns,The number of touchdowns scored in total.,TD,29.0,1.0,28
32,Total Yards,The number of yards accumulated in total.,TYDS,5942.0,325.0,19
33,Total Yards From Scrimmage,The amound of total yards from the line of scrimmage.,CMP,0.0,,1
34,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,-1.0,-1.0,1
35,Two Point Pass,The number of times a pass was thrown for 2 points.,2PTP,0.0,,21
36,Two Point Pass Attempts,The number of times a pass was attempted on a 2-point conversion.,2PTPA,1.0,1.0,22
37,Yards From Scrimmage Per Game,The yards gained from scrimmage per game.,SCRIM/G,0.0,,1
38,Yards Per Completion,The average number of yards per pass completion.,CMP,11.614,10.82800006866455,10
39,Yards Per Game,The average number of yards per game.,YDS/G,349.529,,19
40,Yards Per Pass Attempt,The average number yards per pass attempt.,AVG,7.018,7.250999927520752,17
41,Net Yards Per Pass Attempt,The average number net yards (taking sack yardage into account) per pass attempt.,NYDS/PA,5.665615141955836,5.861111111111111,24
42,Quarterback Rating,Quarterback Rating.,RAT,81.23583,82.88768005371094,79
0,Average Gain,The average gained yards per position.,AG,544.532,,23
1,ESPN RB Rating,The ESPN Widereceiver Rating.,ESPNRB,2185.0,,22
2,Long Rushing,The amount of yards for the longest run.,LNG,52.0,19.0,19
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1
4,Net Total Yards,The amount of total net yards.,NTYDS,5527.0,,21
5,Net Yards Per Game,The total net yards gained per game.,CMP,325.11765,,21
6,Rushing Attempts,The total number of attempted rushes.,ATT,444.0,26.0,17
7,20+ Yard Rushing Plays,The number of rushing big plays gained.,BIG,7.0,,26
8,Rushing 1st downs,The number of times a first down is picked up by a run.,FD,105.0,6.0,19
9,Rushing Fumbles,The number of times there is a run and then the ball is fumbled.,FUM,7.0,,26
10,Rushing Fumbles Lost,The number of times there is a run and then the ball is fumbled.,LST,3.0,,6
11,Rushing Touchdowns,The total number of rushing touchdowns.,TD,11.0,,28
12,Rushing Yards,The total rushing yards.,YDS,1935.0,113.0,21
13,Rushing Yards Per Game,The average number of rushing yards per game.,YDS/G,113.824,,21
14,Stuffs,The number of times a run is stopped at or behind the line of scrimmage.,STF,43.0,,25
15,Stuff Yards Lost,The number of yards lost when a run is stuffed.,SYDSL,-71.0,,5
16,Team Games Played,The numbers of team games played.,GP,17.0,,1
17,Total Offensive Plays,The number of offenseive plays run.,OP,1078.0,62.0,2
