teamName ,displayName,description,abbreviation,value,perGameValue,rank
Ravens,Fumbles,The number of times a player/team has fumbled the ball,FUM,21,1,14
Ravens,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,8,,17
Ravens,Forced Fumbles,The total number of forced fumbles.,FF,8,,3
Ravens,Fumbles Recovered,The number of fumbles recovered.,FR,6,,26
Ravens,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,1,,12
Ravens,Games Played,Games Played,GP,17,,1
Ravens,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0,,1
Ravens,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,1,,1
Ravens,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,0,,12
Ravens,Average Gain,The average gained yards per position.,AG,570.922,,18
Ravens,Completion Percentage,The percentage of completed passes.,CMP%,64.812,64.54000092,20
Ravens,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,396,23,13
Ravens,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,5197,,17
Ravens,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,2.946,3.259000063,27
Ravens,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,18,1,27
Ravens,Longest Pass,The longest pass play completed in terms of yards.,LNG,49,35,32
Ravens,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0,,1
Ravens,Net Passing Yards,The amount of net passing yards.,NYDS,3961,233,13
Ravens,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,233,,13
Ravens,Net Total Yards,The amount of net total yards.,NTYDS,6440,,6
Ravens,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,378.82352,,6
Ravens,Passing Attempts,The number of times a pass is attempted.,ATT,611,35,9
Ravens,Passing Big Plays,The number of times a pass results in a big play.,BIGP,54,,13
Ravens,Passing 1st downs,The number of times a pass results in a first down.,FIRST,209,12,10
Ravens,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,11,,8
Ravens,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,5,,12
Ravens,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,3.437,2.857142925,26
Ravens,Passing Touchdowns,The total number of passing touchdowns.,TD,21,1,20
Ravens,Passing Yards,The total passing yards.,YDS,4267,251,13
Ravens,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,1713,,27
Ravens,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,2554,,6
Ravens,Passing Yards Per Game,The number of passing yards per game.,YDS/G,251,,13
Ravens,Passer Rating,Passer Rating,RTG,84.375,80.93214417,79
Ravens,Total Sacks,The total number of sacks.,SACK,57,3,2
Ravens,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,306,18,24
Ravens,Net Passing Attempts,Net Passing Attempts.,NATT,668,38,11
Ravens,Team Games Played,The amount of games played.,TGP,17,,1
Ravens,Total Offensive Plays,The number of total offensive plays.,TOP,1185,68,14
Ravens,Total Points,The number of total points scored.,PTS,387,22,17
Ravens,Total Points Per Game,The number of points scored per game.,TP,22.765,,17
Ravens,Total Touchdowns,The number of touchdowns scored in total.,TD,41,2,19
Ravens,Total Yards,The number of yards accumulated in total.,TYDS,6746,378,5
Ravens,Total Yards From Scrimmage,The amound of total yards from the line of scrimmage.,CMP,0,,1
Ravens,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,-1,-1,1
Ravens,Two Point Pass,The number of times a pass was thrown for 2 points.,2PTP,2,,6
Ravens,Two Point Pass Attempts,The number of times a pass was attempted on a 2-point conversion.,2PTPA,7,1,2
Ravens,Yards From Scrimmage Per Game,The yards gained from scrimmage per game.,SCRIM/G,0,,1
Ravens,Yards Per Completion,The average number of yards per pass completion.,CMP,10.775,10.15799999,21
Ravens,Yards Per Game,The average number of yards per game.,YDS/G,396.824,,5
Ravens,Yards Per Pass Attempt,The average number yards per pass attempt.,AVG,6.984,6.988999844,17
Ravens,Net Yards Per Pass Attempt,The average number net yards (taking sack yardage into account) per pass attempt.,NYDS/PA,5.929640719,6.131578947,1
Ravens,Quarterback Rating,Quarterback Rating.,RAT,84.375,80.93214417,79
Ravens,Average Gain,The average gained yards per position.,AG,570.922,,18
Ravens,ESPN RB Rating,The ESPN Widereceiver Rating.,ESPNRB,2989,,5
Ravens,Long Rushing,The amount of yards for the longest run.,LNG,46,21,18
Ravens,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0,,1
Ravens,Net Total Yards,The amount of total net yards.,NTYDS,6440,,6
Ravens,Net Yards Per Game,The total net yards gained per game.,CMP,378.82352,,6
Ravens,Rushing Attempts,The total number of attempted rushes.,ATT,517,30,3
Ravens,20+ Yard Rushing Plays,The number of rushing big plays gained.,BIG,15,,6
Ravens,Rushing 1st downs,The number of times a first down is picked up by a run.,FD,159,9,2
Ravens,Rushing Fumbles,The number of times there is a run and then the ball is fumbled.,FUM,15,,6
Ravens,Rushing Fumbles Lost,The number of times there is a run and then the ball is fumbled.,LST,3,,4
Ravens,Rushing Touchdowns,The total number of rushing touchdowns.,TD,18,1,9
Ravens,Rushing Yards,The total rushing yards.,YDS,2479,145,3
Ravens,Rushing Yards Per Game,The average number of rushing yards per game.,YDS/G,145.824,,3
Ravens,Stuffs,The number of times a run is stopped at or behind the line of scrimmage.,STF,46,,17
Ravens,Stuff Yards Lost,The number of yards lost when a run is stuffed.,SYDSL,-89,,17
Ravens,Team Games Played,The numbers of team games played.,GP,17,,1
Ravens,Total Offensive Plays,The number of offenseive plays run.,OP,1185,68,14
Ravens,Total Points,The number of total points earned.,PTS,387,22,17
Ravens,Total Points Per Game,The average number of points scored per game.,TP/G,22.765,,17
Ravens,Total Touchdowns,The number of total Touchdowns scored.,TD,41,2,19
Ravens,Total Yards,The number of total yards gained.,TYDS,6746,378,5
Ravens,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0,,1
Ravens,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTC,-1,-1,1
Ravens,Two Point Rush,The number of rushes on 2-point attempts.,2PTR,0,,18
Ravens,Two Point Rush Attempts,The number of times a 2-point conversion is attempted with a rush.,CMP,1,,12
Ravens,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0,,1
Ravens,Yards Per Game,The average number of yards per game.,YDS/G,396.824,,5
Ravens,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,4.795,4.679999828,5
Ravens,Average Gain,The average gained yards per position.,AG,570.922,,18
Ravens,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,6982,,13
Ravens,Long Reception,The amount of yards for the longest reception.,LNG,49,35,32
Ravens,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0,,1
Ravens,Net Total Yards,The amount of total net yards.,NTYDS,6440,,6
Ravens,Net Yards Per Game,The total net yards gained per game.,CMP,378.82352,,6
Ravens,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,54,,13
Ravens,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,209,,10
Ravens,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,11,,8
Ravens,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,5,,12
Ravens,Receiving Targets,The number of times a receiver is thrown to.,TGTS,591,34,10
Ravens,Receiving Touchdowns,The total number of receiving touchdowns.,TD,21,1,20
Ravens,Receiving Yards,The total receiving yards.,YDS,4267,251,13
Ravens,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,1715,100,27
Ravens,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,2552,,6
Ravens,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,251,,13
Ravens,Receptions,The total number of receptions.,REC,396,23,13
Ravens,Team Games Played,The numbers of team games played.,GP,17,,1
