,displayName,description,abbreviation,value,perGameValue,rank,teamName
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,21.0,1.0,13.0,Falcons
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,12.0,,4.0,Falcons
2,Forced Fumbles,The total number of forced fumbles.,FF,8.0,,62.0,Falcons
3,Fumbles Recovered,The number of fumbles recovered.,FR,7.0,,23.0,Falcons
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,1.0,,8.0,Falcons
5,Games Played,Games Played,GP,17.0,,1.0,Falcons
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1.0,Falcons
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,0.0,,5.0,Falcons
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,1.0,,8.0,Falcons
0,Average Gain,The average gained yards per position.,AG,556.16,,16.0,Falcons
1,Completion Percentage,The percentage of completed passes.,CMP%,61.928,62.20000076293945,25.0,Falcons
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,257.0,15.0,31.0,Falcons
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,3847.0,,31.0,Falcons
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,2.169,2.1519999504089355,12.0,Falcons
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,9.0,,3.0,Falcons
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,75.0,34.0,7.0,Falcons
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1.0,Falcons
8,Net Passing Yards,The amount of net passing yards.,NYDS,2699.0,158.0,31.0,Falcons
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,158.76471,,31.0,Falcons
10,Net Total Yards,The amount of net total yards.,NTYDS,5417.0,,24.0,Falcons
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,318.64706,,24.0,Falcons
12,Passing Attempts,The number of times a pass is attempted.,ATT,415.0,24.0,31.0,Falcons
13,Passing Big Plays,The number of times a pass results in a big play.,BIGP,37.0,,30.0,Falcons
14,Passing 1st downs,The number of times a pass results in a first down.,FIRST,148.0,8.0,30.0,Falcons
15,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,8.0,,17.0,Falcons
16,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,6.0,,5.0,Falcons
17,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,4.096,4.1666669845581055,17.0,Falcons
18,Passing Touchdowns,The total number of passing touchdowns.,TD,17.0,1.0,24.0,Falcons
19,Passing Yards,The total passing yards.,YDS,2927.0,172.0,31.0,Falcons
20,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,1229.0,,31.0,Falcons
21,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,1698.0,,29.0,Falcons
22,Passing Yards Per Game,The number of passing yards per game.,YDS/G,172.176,,31.0,Falcons
23,Passer Rating,Passer Rating,RTG,87.69334,89.00138854980469,79.0,Falcons
24,Total Sacks,The total number of sacks.,SACK,37.0,2.0,21.0,Falcons
25,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,228.0,13.0,10.0,Falcons
26,Net Passing Attempts,Net Passing Attempts.,NATT,452.0,26.0,52.0,Falcons
27,Team Games Played,The amount of games played.,TGP,17.0,,1.0,Falcons
28,Total Offensive Plays,The number of total offensive plays.,TOP,1011.0,58.0,53.0,Falcons
29,Total Points,The number of total points scored.,PTS,365.0,21.0,15.0,Falcons
30,Total Points Per Game,The number of points scored per game.,TP,21.471,,15.0,Falcons
31,Total Touchdowns,The number of touchdowns scored in total.,TD,38.0,2.0,18.0,Falcons
32,Total Yards,The number of yards accumulated in total.,TYDS,5645.0,318.0,26.0,Falcons
33,Total Yards From Scrimmage,The amound of total yards from the line of scrimmage.,CMP,0.0,,1.0,Falcons
34,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,-1.0,-1.0,1.0,Falcons
35,Two Point Pass,The number of times a pass was thrown for 2 points.,2PTP,2.0,1.0,7.0,Falcons
36,Two Point Pass Attempts,The number of times a pass was attempted on a 2-point conversion.,2PTPA,2.0,1.0,16.0,Falcons
37,Yards From Scrimmage Per Game,The yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0,Falcons
38,Yards Per Completion,The average number of yards per pass completion.,CMP,11.389,10.885000228881836,12.0,Falcons
39,Yards Per Game,The average number of yards per game.,YDS/G,332.059,,26.0,Falcons
40,Yards Per Pass Attempt,The average number yards per pass attempt.,AVG,7.053,7.238999843597412,15.0,Falcons
41,Net Yards Per Pass Attempt,The average number net yards (taking sack yardage into account) per pass attempt.,NYDS/PA,5.971238938053097,6.076923076923077,,Falcons
42,Quarterback Rating,Quarterback Rating.,RAT,87.69334,89.00138854980469,79.0,Falcons
0,Average Gain,The average gained yards per position.,AG,556.16,,16.0,Falcons
1,ESPN RB Rating,The ESPN Widereceiver Rating.,ESPNRB,3133.0,,3.0,Falcons
2,Long Rushing,The amount of yards for the longest run.,LNG,44.0,25.0,24.0,Falcons
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1.0,Falcons
4,Net Total Yards,The amount of total net yards.,NTYDS,5417.0,,24.0,Falcons
5,Net Yards Per Game,The total net yards gained per game.,CMP,318.64706,,24.0,Falcons
6,Rushing Attempts,The total number of attempted rushes.,ATT,559.0,32.0,1.0,Falcons
7,20+ Yard Rushing Plays,The number of rushing big plays gained.,BIG,17.0,,7.0,Falcons
8,Rushing 1st downs,The number of times a first down is picked up by a run.,FD,152.0,8.0,3.0,Falcons
9,Rushing Fumbles,The number of times there is a run and then the ball is fumbled.,FUM,17.0,,7.0,Falcons
10,Rushing Fumbles Lost,The number of times there is a run and then the ball is fumbled.,LST,3.0,,6.0,Falcons
11,Rushing Touchdowns,The total number of rushing touchdowns.,TD,17.0,1.0,10.0,Falcons
12,Rushing Yards,The total rushing yards.,YDS,2718.0,159.0,3.0,Falcons
13,Rushing Yards Per Game,The average number of rushing yards per game.,YDS/G,159.882,,3.0,Falcons
14,Stuffs,The number of times a run is stopped at or behind the line of scrimmage.,STF,58.0,,8.0,Falcons
15,Stuff Yards Lost,The number of yards lost when a run is stuffed.,SYDSL,-107.0,,20.0,Falcons
16,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Falcons
17,Total Offensive Plays,The number of offenseive plays run.,OP,1011.0,58.0,53.0,Falcons
18,Total Points,The number of total points earned.,PTS,365.0,21.0,15.0,Falcons
19,Total Points Per Game,The average number of points scored per game.,TP/G,21.471,,15.0,Falcons
20,Total Touchdowns,The number of total Touchdowns scored.,TD,38.0,2.0,18.0,Falcons
21,Total Yards,The number of total yards gained.,TYDS,5645.0,318.0,26.0,Falcons
22,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1.0,Falcons
23,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTC,-1.0,-1.0,1.0,Falcons
24,Two Point Rush,The number of rushes on 2-point attempts.,2PTR,1.0,1.0,4.0,Falcons
25,Two Point Rush Attempts,The number of times a 2-point conversion is attempted with a rush.,CMP,1.0,1.0,8.0,Falcons
26,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0,Falcons
27,Yards Per Game,The average number of yards per game.,YDS/G,332.059,,26.0,Falcons
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,4.862,4.849999904632568,4.0,Falcons
0,Average Gain,The average gained yards per position.,AG,556.16,,16.0,Falcons
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,4807.0,,31.0,Falcons
2,Long Reception,The amount of yards for the longest reception.,LNG,75.0,34.0,7.0,Falcons
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1.0,Falcons
4,Net Total Yards,The amount of total net yards.,NTYDS,5417.0,,24.0,Falcons
5,Net Yards Per Game,The total net yards gained per game.,CMP,318.64706,,24.0,Falcons
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,37.0,,30.0,Falcons
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,148.0,,30.0,Falcons
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,8.0,,17.0,Falcons
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,6.0,,5.0,Falcons
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,400.0,23.0,31.0,Falcons
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,17.0,1.0,24.0,Falcons
12,Receiving Yards,The total receiving yards.,YDS,2927.0,172.0,31.0,Falcons
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,1229.0,72.0,31.0,Falcons
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,1698.0,,29.0,Falcons
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,172.176,,31.0,Falcons
16,Receptions,The total number of receptions.,REC,257.0,15.0,31.0,Falcons
17,Team Games Played,The numbers of team games played.,GP,17.0,,1.0,Falcons
18,Total Offensive Plays,The number of offenseive plays run.,OP,1011.0,58.0,53.0,Falcons
19,Total Points,The number of total points earned.,PTS,365.0,21.0,15.0,Falcons
20,Total Points Per Game,The average number of points scored per game.,TP/G,21.471,,15.0,Falcons
21,Total Touchdowns,The number of total Touchdowns scored.,TD,38.0,2.0,18.0,Falcons
22,Total Yards,The number of total yards gained.,TYDS,5645.0,318.0,26.0,Falcons
23,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1.0,Falcons
24,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1.0,-1.0,1.0,Falcons
25,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,2.0,1.0,7.0,Falcons
26,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,2.0,1.0,16.0,Falcons
27,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0,Falcons
28,Yards Per Game,The average number of yards per game.,YDS/G,332.059,,26.0,Falcons
29,Yards Per Reception,The average number of yards per reception.,AVG,11.389,11.848999977111816,12.0,Falcons
0,Assist Tackles,The number of assists on tackles.,AST,554.0,30.0,18.0,Falcons
1,Average Interception Yards,The average number of return yards per interception.,AVG,12.4,11.625,18.0,Falcons
2,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,7.048,6.683000087738037,9.0,Falcons
3,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,3.528,,30.0,Falcons
4,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0.0,,2.0,Falcons
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,1.0,,1.0,Falcons
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,2.0,,10.0,Falcons
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1.0,Falcons
8,Kicks Blocked,The number of times a kick was blocked.,KB,3.0,,2.0,Falcons
9,Long Interception,The amount of yards of the longest interception return.,LNG,28.0,,30.0,Falcons
10,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,1.0,,1.0,Falcons
