,displayName,description,abbreviation,value,perGameValue,rank
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,21.0,1.0,14.0
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,11.0,,4.0
2,Forced Fumbles,The total number of forced fumbles.,FF,19.0,,23.0
3,Fumbles Recovered,The number of fumbles recovered.,FR,14.0,1.0,1.0
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,1.0,,4.0
5,Games Played,Games Played,GP,17.0,,1.0
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1.0
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,0.0,,4.0
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,1.0,,4.0
0,Average Gain,The average gained yards per position.,AG,578.529,,16.0
1,Completion Percentage,The percentage of completed passes.,CMP%,62.188,61.70399856567383,24.0
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,324.0,19.0,28.0
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,5238.0,,16.0
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,1.536,1.5180000066757202,4.0
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,8.0,,4.0
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,76.0,39.0,7.0
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1.0
8,Net Passing Yards,The amount of net passing yards.,NYDS,3361.0,197.0,26.0
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,197.70589,,26.0
10,Net Total Yards,The amount of net total yards.,NTYDS,5901.0,,16.0
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,347.11765,,16.0
12,Passing Attempts,The number of times a pass is attempted.,ATT,521.0,30.0,27.0
13,Passing Big Plays,The number of times a pass results in a big play.,BIGP,42.0,,25.0
14,Passing 1st downs,The number of times a pass results in a first down.,FIRST,167.0,9.0,28.0
15,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,9.0,,19.0
16,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,5.0,,12.0
17,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,5.182,3.3333334922790527,12.0
18,Passing Touchdowns,The total number of passing touchdowns.,TD,27.0,1.0,12.0
19,Passing Yards,The total passing yards.,YDS,3588.0,211.0,28.0
