,displayName,description,abbreviation,value,perGameValue,rank
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,21.0,1.0,14
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,12.0,,1
2,Forced Fumbles,The total number of forced fumbles.,FF,12.0,,37
3,Fumbles Recovered,The number of fumbles recovered.,FR,2.0,,32
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,1.0,,12
5,Games Played,Games Played,GP,17.0,,1
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,1.0,,1
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,0.0,,12
0,Average Gain,The average gained yards per position.,AG,521.185,,25
1,Completion Percentage,The percentage of completed passes.,CMP%,59.768,60.26599884033203,28
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,361.0,21.0,18
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,4004.0,,30
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,2.815,2.7170000076293945,26
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,17.0,1.0,26
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,58.0,31.0,30
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1
8,Net Passing Yards,The amount of net passing yards.,NYDS,3436.0,202.0,22
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,202.11765,,22
10,Net Total Yards,The amount of net total yards.,NTYDS,5191.0,,27
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,305.35294,,27
12,Passing Attempts,The number of times a pass is attempted.,ATT,604.0,35.0,11
13,Passing Big Plays,The number of times a pass results in a big play.,BIGP,44.0,,22
14,Passing 1st downs,The number of times a pass results in a first down.,FIRST,178.0,10.0,24
15,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,11.0,,8
16,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,7.0,,5
17,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,1.987,,32
18,Passing Touchdowns,The total number of passing touchdowns.,TD,12.0,,32
19,Passing Yards,The total passing yards.,YDS,3674.0,216.0,24
20,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,1653.0,,29
21,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,2021.0,,20
22,Passing Yards Per Game,The number of passing yards per game.,YDS/G,216.118,,24
23,Passer Rating,Passer Rating,RTG,72.13,66.66748809814453,79
24,Total Sacks,The total number of sacks.,SACK,32.0,1.0,23
25,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,238.0,14.0,11
26,Net Passing Attempts,Net Passing Attempts.,NATT,636.0,36.0,34
27,Team Games Played,The amount of games played.,TGP,17.0,,1
28,Total Offensive Plays,The number of total offensive plays.,TOP,1028.0,59.0,4
29,Total Points,The number of total points scored.,PTS,253.0,15.0,32
30,Total Points Per Game,The number of points scored per game.,TP,14.882,,32
31,Total Touchdowns,The number of touchdowns scored in total.,TD,28.0,1.0,31
32,Total Yards,The number of yards accumulated in total.,TYDS,5429.0,305.0,28
33,Total Yards From Scrimmage,The amound of total yards from the line of scrimmage.,CMP,0.0,,1
34,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,-1.0,-1.0,1
35,Two Point Pass,The number of times a pass was thrown for 2 points.,2PTP,2.0,,6
36,Two Point Pass Attempts,The number of times a pass was attempted on a 2-point conversion.,2PTPA,5.0,1.0,4
37,Yards From Scrimmage Per Game,The yards gained from scrimmage per game.,SCRIM/G,0.0,,1
38,Yards Per Completion,The average number of yards per pass completion.,CMP,10.177,9.503000259399414,28
39,Yards Per Game,The average number of yards per game.,YDS/G,319.353,,28
40,Yards Per Pass Attempt,The average number yards per pass attempt.,AVG,6.083,6.164000034332275,29
41,Net Yards Per Pass Attempt,The average number net yards (taking sack yardage into account) per pass attempt.,NYDS/PA,5.40251572327044,5.611111111111111,27
42,Quarterback Rating,Quarterback Rating.,RAT,72.13,66.66748809814453,79
0,Average Gain,The average gained yards per position.,AG,521.185,,25
1,ESPN RB Rating,The ESPN Widereceiver Rating.,ESPNRB,2030.0,,25
2,Long Rushing,The amount of yards for the longest run.,LNG,66.0,21.0,7
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1
4,Net Total Yards,The amount of total net yards.,NTYDS,5191.0,,27
5,Net Yards Per Game,The total net yards gained per game.,CMP,305.35294,,27
6,Rushing Attempts,The total number of attempted rushes.,ATT,392.0,23.0,30
7,20+ Yard Rushing Plays,The number of rushing big plays gained.,BIG,7.0,,25
8,Rushing 1st downs,The number of times a first down is picked up by a run.,FD,92.0,5.0,26
9,Rushing Fumbles,The number of times there is a run and then the ball is fumbled.,FUM,7.0,,25
10,Rushing Fumbles Lost,The number of times there is a run and then the ball is fumbled.,LST,4.0,,2
