,displayName,description,abbreviation,value,perGameValue,rank
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,17.0,1.0,23
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,4.0,,32
2,Forced Fumbles,The total number of forced fumbles.,FF,11.0,,44
3,Fumbles Recovered,The number of fumbles recovered.,FR,7.0,1.0,23
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,2.0,,2
5,Games Played,Games Played,GP,17.0,,1
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,0.0,,5
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,2.0,,2
0,Average Gain,The average gained yards per position.,AG,591.026,,8
1,Completion Percentage,The percentage of completed passes.,CMP%,61.263,61.26900100708008,27
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,359.0,21.0,15
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,5632.0,,12
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,2.901,3.121999979019165,28
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,17.0,1.0,28
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,60.0,37.0,21
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1
8,Net Passing Yards,The amount of net passing yards.,NYDS,3934.0,231.0,11
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,231.41176,,11
10,Net Total Yards,The amount of net total yards.,NTYDS,5993.0,,11
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,352.52942,,12
12,Passing Attempts,The number of times a pass is attempted.,ATT,586.0,34.0,11
13,Passing Big Plays,The number of times a pass results in a big play.,BIGP,58.0,,4
14,Passing 1st downs,The number of times a pass results in a first down.,FIRST,193.0,11.0,13
15,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,10.0,,8
16,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,3.0,,26
17,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,4.778,2.941176414489746,11
