,displayName,description,abbreviation,value,perGameValue,rank
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,16.0,1.0,25
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,6.0,,28
2,Forced Fumbles,The total number of forced fumbles.,FF,13.0,,46
3,Fumbles Recovered,The number of fumbles recovered.,FR,6.0,,28
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,3.0,,2
5,Games Played,Games Played,GP,17.0,,1
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,1.0,,1
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,2.0,,2
0,Average Gain,The average gained yards per position.,AG,636.242,,2
1,Completion Percentage,The percentage of completed passes.,CMP%,63.014,62.65599822998047,20
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,368.0,21.0,11
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,6415.0,,4
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,2.568,2.496000051498413,20
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,15.0,,22
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,84.0,47.0,2
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1
8,Net Passing Yards,The amount of net passing yards.,NYDS,4511.0,265.0,4
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,265.35294,,4
10,Net Total Yards,The amount of net total yards.,NTYDS,6197.0,,6
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,364.52942,,6
12,Passing Attempts,The number of times a pass is attempted.,ATT,584.0,34.0,12
13,Passing Big Plays,The number of times a pass results in a big play.,BIGP,62.0,,3
14,Passing 1st downs,The number of times a pass results in a first down.,FIRST,220.0,12.0,7
15,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,8.0,,17
16,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,4.0,,21
17,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,5.137,2.941176414489746,6
18,Passing Touchdowns,The total number of passing touchdowns.,TD,30.0,1.0,4
19,Passing Yards,The total passing yards.,YDS,4765.0,280.0,4
20,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,1796.0,,18
21,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,2969.0,,1
22,Passing Yards Per Game,The number of passing yards per game.,YDS/G,280.294,,5
23,Passer Rating,Passer Rating,RTG,95.014175,87.80059051513672,20
24,Total Sacks,The total number of sacks.,SACK,35.0,2.0,23
25,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,254.0,14.0,14
26,Net Passing Attempts,Net Passing Attempts.,NATT,619.0,36.0,11
27,Team Games Played,The amount of games played.,TGP,17.0,,1
28,Total Offensive Plays,The number of total offensive plays.,TOP,1009.0,58.0,20
29,Total Points,The number of total points scored.,PTS,397.0,23.0,11
30,Total Points Per Game,The number of points scored per game.,TP,23.353,,11
31,Total Touchdowns,The number of touchdowns scored in total.,TD,46.0,2.0,9
32,Total Yards,The number of yards accumulated in total.,TYDS,6451.0,364.0,6
33,Total Yards From Scrimmage,The amound of total yards from the line of scrimmage.,CMP,0.0,,1
34,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,-1.0,-1.0,1
35,Two Point Pass,The number of times a pass was thrown for 2 points.,2PTP,0.0,,21
36,Two Point Pass Attempts,The number of times a pass was attempted on a 2-point conversion.,2PTPA,2.0,,16
37,Yards From Scrimmage Per Game,The yards gained from scrimmage per game.,SCRIM/G,0.0,,1
38,Yards Per Completion,The average number of yards per pass completion.,CMP,12.948,12.362000465393066,1
39,Yards Per Game,The average number of yards per game.,YDS/G,379.471,,6
40,Yards Per Pass Attempt,The average number yards per pass attempt.,AVG,8.159,8.184000015258789,1
41,Net Yards Per Pass Attempt,The average number net yards (taking sack yardage into account) per pass attempt.,NYDS/PA,7.2875605815831985,7.361111111111111,2
42,Quarterback Rating,Quarterback Rating.,RAT,95.014175,87.80059051513672,20
0,Average Gain,The average gained yards per position.,AG,636.242,,2
1,ESPN RB Rating,The ESPN Widereceiver Rating.,ESPNRB,2016.0,,26
2,Long Rushing,The amount of yards for the longest run.,LNG,67.0,20.0,9
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1
4,Net Total Yards,The amount of total net yards.,NTYDS,6197.0,,6
5,Net Yards Per Game,The total net yards gained per game.,CMP,364.52942,,6
6,Rushing Attempts,The total number of attempted rushes.,ATT,390.0,22.0,31
7,20+ Yard Rushing Plays,The number of rushing big plays gained.,BIG,10.0,,17
8,Rushing 1st downs,The number of times a first down is picked up by a run.,FD,93.0,5.0,25
9,Rushing Fumbles,The number of times there is a run and then the ball is fumbled.,FUM,10.0,,17
10,Rushing Fumbles Lost,The number of times there is a run and then the ball is fumbled.,LST,1.0,,21
11,Rushing Touchdowns,The total number of rushing touchdowns.,TD,12.0,,22
12,Rushing Yards,The total rushing yards.,YDS,1686.0,99.0,25
13,Rushing Yards Per Game,The average number of rushing yards per game.,YDS/G,99.176,,25
14,Stuffs,The number of times a run is stopped at or behind the line of scrimmage.,STF,33.0,,32
15,Stuff Yards Lost,The number of yards lost when a run is stuffed.,SYDSL,-59.0,,2
16,Team Games Played,The numbers of team games played.,GP,17.0,,1
17,Total Offensive Plays,The number of offenseive plays run.,OP,1009.0,58.0,20
18,Total Points,The number of total points earned.,PTS,397.0,23.0,11
19,Total Points Per Game,The average number of points scored per game.,TP/G,23.353,,11
20,Total Touchdowns,The number of total Touchdowns scored.,TD,46.0,2.0,9
21,Total Yards,The number of total yards gained.,TYDS,6451.0,364.0,6
22,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1
23,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTC,-1.0,-1.0,1
24,Two Point Rush,The number of rushes on 2-point attempts.,2PTR,0.0,,14
25,Two Point Rush Attempts,The number of times a 2-point conversion is attempted with a rush.,CMP,0.0,,20
26,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1
27,Yards Per Game,The average number of yards per game.,YDS/G,379.471,,6
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,4.323,4.242000102996826,19
0,Average Gain,The average gained yards per position.,AG,636.242,,2
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,7655.0,,6
2,Long Reception,The amount of yards for the longest reception.,LNG,84.0,47.0,2
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1
4,Net Total Yards,The amount of total net yards.,NTYDS,6197.0,,6
5,Net Yards Per Game,The total net yards gained per game.,CMP,364.52942,,6
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,62.0,,3
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,220.0,,7
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,8.0,,17
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,4.0,,21
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,562.0,33.0,11
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,30.0,1.0,4
12,Receiving Yards,The total receiving yards.,YDS,4765.0,280.0,4
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,1796.0,105.0,18
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,2969.0,,1
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,280.294,,5
16,Receptions,The total number of receptions.,REC,368.0,21.0,11
17,Team Games Played,The numbers of team games played.,GP,17.0,,1
18,Total Offensive Plays,The number of offenseive plays run.,OP,1009.0,58.0,20
19,Total Points,The number of total points earned.,PTS,397.0,23.0,11
20,Total Points Per Game,The average number of points scored per game.,TP/G,23.353,,11
21,Total Touchdowns,The number of total Touchdowns scored.,TD,46.0,2.0,9
22,Total Yards,The number of total yards gained.,TYDS,6451.0,364.0,6
23,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1
24,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1.0,-1.0,1
25,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,0.0,,21
26,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,2.0,1.0,16
27,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1
28,Yards Per Game,The average number of yards per game.,YDS/G,379.471,,6
29,Yards Per Reception,The average number of yards per reception.,AVG,12.948,13.119999885559082,1
0,Assist Tackles,The number of assists on tackles.,AST,421.0,22.0,16
1,Average Interception Yards,The average number of return yards per interception.,AVG,14.375,13.133000373840332,13
2,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,7.25,7.341000080108643,3
3,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,7.143,,13
4,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0.0,,2
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,1.0,,1
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,2.0,,10
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1
8,Kicks Blocked,The number of times a kick was blocked.,KB,2.0,,7
9,Long Interception,The amount of yards of the longest interception return.,LNG,33.0,,27
10,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,1.0,,1
11,Passes Batted Down,The number of passes that were batted down.,BATD,0.0,,1
12,Passes Defended,The total number of passes defended.,PD,71.0,4.0,16
13,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0.0,,1
14,Sacks,The total number of sacks.,SACK,40.0,2.3529999256134033,14
15,Sack Yards,The number of yards lost from sacks.,SCKYDS,290.0,17.05900001525879,10
16,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,0.0,,10
17,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,782.0,41.0,7
18,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,35.0,4.0,18
19,Stuff Yards,The number of yards lost from stuffs.,STFYDS,250.0,,10
20,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,75.0,4.4120001792907715,20
21,Team Games Played,The numbers of team games played.,GP,17.0,,1
22,Total Tackles,The total number of tackles.,TOT,1203.0,63.0,23
23,Yards Allowed,Yards allowed,YA,0.0,,1
24,Points Allowed,Points allowed,PA,0.0,,1
25,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1
0,Interceptions,The total number of interceptions.,INT,8.0,,29
1,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,0.0,,25
2,Interception Yards,The number of yards gained after an interception.,YDS,115.0,6.0,24
0,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,18.931,14.692000389099121,1
1,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,62.589,18.01099967956543,1
2,Extra Point Attempts,The number of extra point attempts.,XPA,44.0,2.0,2
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,93.182,85.88200378417969,3
4,Extra Point Blocked,The number of extra points blocked.,XPB,0.0,,1
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0.0,,1
6,Extra Points Made,The number of extra point attempts made.,XPM,41.0,2.0,2
7,Fair Catches,The number of fair catches.,FC,0.0,,1
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,9.196000099182129,1
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,32.0,1.0,3
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0.0,,2
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,6.0,,2
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,7.0,,4
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,13.0,,2
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,6.0,,2
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,0.0,,2
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,6.0,,16
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1301.0,76.0,3
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,81.25,67.15699768066406,3
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,1.0,,3
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,3.125,1.4709999561309814,3
21,Field Goal Made,The number of times a field goal is made.,FGM,26.0,1.0,4
22,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0.0,,2
23,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,5.0,,2
24,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,7.0,,4
25,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,12.0,,1
26,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,2.0,,3
27,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,0.0,,2
28,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,2.0,,5
29,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,1015.0,59.0,4
30,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,286.0,16.0,2
31,Kickoff Returns,The number of times a kickoff was returned.,KR,29.0,1.0,4
32,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,1.0,,3
33,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,549.0,32.0,1
34,Kickoffs,The number of kickoffs taken.,K,90.0,5.0,2
35,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,5633.0,98.0,2
36,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,55.0,,3
37,Long Field Goal Made,The distance of the longest field goal made.,LNG,55.0,35.0,3
38,Long Kickoff,The distance of the longest kickoff.,LK,74.0,53.0,1
39,Team Games Played,The numbers of team games played.,GP,17.0,,1
40,Total Kicking Points,The number of total points earned kicking.,PTS,119.0,7.0,3
41,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,67.778,67.56900024414062,2
42,Touchbacks,The number of kickoffs that result in touchbacks.,TB,61.0,3.0,1
0,Defensive Fumbles Returns,The number of fumble returns.,DFR,0.0,,1
1,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0.0,,1
2,Fumble Recoveries,The number of fumble recoveries.,FR,6.0,,28
3,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,21.0,,17
4,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0.0,,1
5,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0.0,,1
6,Kick Return Fumbles,The number of kick return fumbles.,KRF,0.0,,1
7,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0.0,,1
8,Kick Returns,The number of kick returns.,ATT,29.0,1.0,19
9,Kick Return Touchdowns,The number of kick return touchdowns.,TD,0.0,,6
10,Kick Return Yards,The total yardage of kick returns.,YDS,549.0,32.0,27
11,Long Kick Return,The longest kick return in yards.,LNG,31.0,17.0,31
12,Long Punt Return,The longest punt return in yards.,LNG,15.0,5.0,32
13,Miscellaneous Fumbles Returns,The number of fumble returns.,MFR,0.0,,1
14,Miscellaneous Fumble Return Yards,The amount of total yardage from fumble returns.,MFRYDS,0.0,,1
15,Opposition Fumble Recoveries,The number of fumble recoveries by the opposition.,OPFR,6.0,,28
16,Opposition Fumble Recovery Yards,The amount of total yardage from fumble recoveries by the opposition.,OFRYDS,52.0,,11
17,Opposition Special Team Fumble Returns,The number of fumble returns by the opposition's speical teams.,OPSTFR,0.0,,1
18,Opposition Special Team Fumble Return Yards,The amount of total yardage from fumble return by the opposition's special teams.,OFRYDS,0.0,,1
19,Punt Return Fair Catches,The number of punt return fair catches.,FC,29.0,1.0,2
20,Punt Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,PRFC%,152.632,,1
21,Punt Return Fumbles,The number of punt return fumbles.,PRF,0.0,,1
22,Punt Return Fumbles Lost,The number of punt return fumbles that are lost.,PRFL,0.0,,1
23,Punt Returns,The number of punt returns.,ATT,19.0,1.0,30
24,Punt Returns Started Inside the 10,The number of punt returns started inside the 10.,PR 10,0.0,,1
25,Punt Returns Started Inside the 20,The number of punt returns started inside the 20.,PR 20,0.0,,1
26,Punt Return Touchdowns,The number of punt return touchdowns.,TD,0.0,,4
27,Punt Return Yards,The total yardage of punt returns.,YDS,111.0,6.0,31
28,Special Team Fumbles Returns,The number of special team fumble returns.,STFR,0.0,,1
29,Special Team Fumble Return Yards,The amount of total yardage from special team fumble returns.,STFRYD,0.0,,1
30,Team Games Played,The numbers of team games played.,GP,17.0,,1
31,Yards Per Kick Return,The average number of yards per kick return.,AVG,18.931,14.692000389099121,31
32,Yards Per Punt Return,The average number of yards per punt return.,AVG,5.842,3.755000114440918,31
33,Yards Per Return,The average number of yards per return.,YDS/R,13.75,,28
0,Average Punt Return Yards,The average number of yards per punt return.,AVG,10.4,3.755000114440918,8
1,Fair Catches,The number of fair catches.,FC,15.0,,24
2,Gross Average Punt Yards,The average gross number of yards per punt.,AVG,46.361,42.7869987487793,21
3,Long Punt,The distance of the longest punt.,LNG,66.0,50.0,24
4,Net Average Punt Yards,The average net number of yards per punt.,NET,41.246,38.62799835205078,27
5,Punt Returns,The number of times a punt was returned.,ATT,30.0,1.0,14
6,Punt Return Yards,The total amount of yardage of punt returns.,YDS,312.0,18.0,10
7,Punts,The number of punts taken.,PUNTS,61.0,3.0,21
8,Punts Blocked,The number of times a punt was blocked.,PBLK,0.0,,11
9,Punts Blocked Percentage,The percentage of punts that are blocked.,PBLK%,0.0,,11
10,Punts Inside 10,The number of times a punt is downed inside the 10.,P 10,8.0,,13
11,Punts Inside 10 Percentage,The percentage of punts that end up inside the 10.,P 10%,13.115,,9
12,Punts Inside 20,The number of times a punt is downed inside the 20.,IN20,28.0,1.0,9
13,Punts Inside 20 Percentage,The percentage of punts that end up inside the 10.,IN20%,45.902,45.47100067138672,4
14,Punt Yards,The total amount of yardage of punts.,YDS,2828.0,166.0,24
15,Team Games Played,The numbers of team games played.,GP,17.0,,1
16,Touchback Percentage,The percentage of punts that are touchbacks.,TB%,3.279,1.9609999656677246,28
17,Touchbacks,The number of kickoffs that result in touchbacks.,TB,2.0,,28
0,Defensive Points,The number of points scored on defense.,DP,2.0,6.0,11
1,Field Goals,The number of field goals made.,FG,26.0,1.0,21
2,Kick Extra Points,The number of extra points made.,PAT,41.0,2.0,7
3,Miscellaneous Points,The number of miscellaneous points scored.,MISP,0.0,,1
4,Passing Touchdowns,The total number of passing touchdowns.,PASS,30.0,1.0,4
5,Receiving Touchdowns,The total number of receiving touchdowns.,REC,30.0,1.0,4
6,Return Touchdowns,The total number of return touchdowns.,RET,3.0,,6
7,Rushing Touchdowns,The total number of rushing touchdowns.,RUSH,12.0,,22
8,Total Points,The number of total points scored.,PTS,397.0,22.0,11
9,Total Points Per Game,The number of points scored per game.,TP/G,23.353,,11
10,Total Touchdowns,The number of touchdowns scored in total.,TD,45.0,2.0,9
11,Total Two Point Conversions,The number of times a 2-point conversion is successful.,2PT,0.0,,26
12,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,0.0,,21
13,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTRCC,0.0,,21
14,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTRUC,0.0,,14
15,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1
0,Total 1st downs,The the number of first downs.,CMP,342.0,20.0,17
1,Passing 1st downs,The number of times a pass results in a first down.,FDP,220.0,12.0,7
2,1st downs by penalty,The number of times a penalty results in a first down.,FDPEN,29.0,1.0,11
3,First Downs Per Game,The average number of first downs per game.,FD/G,20.118,20.0,17
4,Rushing 1st downs,The number of times a rush results in a first down.,FDR,93.0,5.0,25
5,First Downs Attempts,The number of attempts at getting a first down.,FDA,24.0,1.0,14
6,4th down %,The percentage of fourth down attempts that are converted.,4THC%,54.167,50.98099899291992,9
7,Fourth Down Conversions,The number of times a fourth down is converted.,4THC,13.0,,9
8,Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team .,LST,6.0,,28
9,Possession Time Seconds,The total time of possession in seconds.,POSS,29922.0,1760.0,26
10,Red Zone Efficiency Percentage,The percentage of red zone attempts that are converted.,CMP,68.57,,11
11,Red Zone Field Goal Percentage,The percentage of red zone trips that end in a field goal.,RZFG%,20.0,,29
12,Red Zone Scoring Percentage,The percentage of red zone trips that result in a score.,RZ%,80.0,51.0,21
13,Red Zone Touchdown Percentage,The percentage of red zone trips that result in a touchdown.,RZTD%,60.0,,10
14,Third Down Attempts,The number of 3rd down attempts.,3RDA,196.0,11.0,29
15,3rd down %,The percentage of 3rd downs that are converted.,3RDC%,36.224,35.66400146484375,24
16,Third Down Conversions,The number of 3rd down conversions.,3RDC,71.0,4.0,29
17,Total Giveaways,The total number of giveaways.,TGV,21.0,,20
18,Total Penalties,The total number of total penalties.,TPEN,111.0,6.0,4
19,Total Penalty Yards,The total number of penalty yards.,TPY,881.0,51.0,5
20,Total Takeaways,The total number of takeaways.,TT,14.0,,30
21,Total Drives,The total number of drives.,D,0.0,,1
