,displayName,description,abbreviation,value,perGameValue,rank
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,23.0,1.0,8
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,9.0,,14
2,Forced Fumbles,The total number of forced fumbles.,FF,13.0,,46
3,Fumbles Recovered,The number of fumbles recovered.,FR,11.0,1.0,4
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,2.0,,2
5,Games Played,Games Played,GP,17.0,,1
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,0.0,,5
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,2.0,,2
0,Average Gain,The average gained yards per position.,AG,554.197,,18
1,Completion Percentage,The percentage of completed passes.,CMP%,66.296,66.79499816894531,8
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,358.0,21.0,16
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,4725.0,,19
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,2.593,2.6040000915527344,21
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,14.0,,17
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,53.0,36.0,31
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1
8,Net Passing Yards,The amount of net passing yards.,NYDS,3536.0,208.0,20
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,208.0,,20
10,Net Total Yards,The amount of net total yards.,NTYDS,5348.0,,26
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,314.58823,,26
12,Passing Attempts,The number of times a pass is attempted.,ATT,540.0,31.0,21
13,Passing Big Plays,The number of times a pass results in a big play.,BIGP,57.0,,5
14,Passing 1st downs,The number of times a pass results in a first down.,FIRST,166.0,9.0,25
15,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,11.0,,5
16,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,6.0,,5
17,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,3.519,3.22580623626709,20
18,Passing Touchdowns,The total number of passing touchdowns.,TD,19.0,1.0,19
19,Passing Yards,The total passing yards.,YDS,3815.0,224.0,21
20,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,1825.0,,15
21,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,1990.0,,21
22,Passing Yards Per Game,The number of passing yards per game.,YDS/G,224.412,,21
23,Passer Rating,Passer Rating,RTG,87.69333,87.19435119628906,27
24,Total Sacks,The total number of sacks.,SACK,41.0,2.0,15
25,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,279.0,16.0,20
26,Net Passing Attempts,Net Passing Attempts.,NATT,581.0,33.0,6
27,Team Games Played,The amount of games played.,TGP,17.0,,1
28,Total Offensive Plays,The number of total offensive plays.,TOP,1006.0,58.0,28
29,Total Points,The number of total points scored.,PTS,364.0,21.0,17
30,Total Points Per Game,The number of points scored per game.,TP,21.412,,17
31,Total Touchdowns,The number of touchdowns scored in total.,TD,39.0,2.0,17
32,Total Yards,The number of yards accumulated in total.,TYDS,5627.0,314.0,27
33,Total Yards From Scrimmage,The amound of total yards from the line of scrimmage.,CMP,0.0,,1
34,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,-1.0,-1.0,1
35,Two Point Pass,The number of times a pass was thrown for 2 points.,2PTP,1.0,,14
36,Two Point Pass Attempts,The number of times a pass was attempted on a 2-point conversion.,2PTPA,4.0,1.0,8
37,Yards From Scrimmage Per Game,The yards gained from scrimmage per game.,SCRIM/G,0.0,,1
38,Yards Per Completion,The average number of yards per pass completion.,CMP,10.656,9.774999618530273,23
39,Yards Per Game,The average number of yards per game.,YDS/G,331.0,,27
40,Yards Per Pass Attempt,The average number yards per pass attempt.,AVG,7.065,7.091000080108643,14
41,Net Yards Per Pass Attempt,The average number net yards (taking sack yardage into account) per pass attempt.,NYDS/PA,6.086058519793459,6.303030303030303,16
42,Quarterback Rating,Quarterback Rating.,RAT,87.69333,87.19435119628906,27
0,Average Gain,The average gained yards per position.,AG,554.197,,18
1,ESPN RB Rating,The ESPN Widereceiver Rating.,ESPNRB,2097.0,,24
2,Long Rushing,The amount of yards for the longest run.,LNG,49.0,24.0,21
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1
4,Net Total Yards,The amount of total net yards.,NTYDS,5348.0,,26
5,Net Yards Per Game,The total net yards gained per game.,CMP,314.58823,,26
6,Rushing Attempts,The total number of attempted rushes.,ATT,425.0,25.0,22
7,20+ Yard Rushing Plays,The number of rushing big plays gained.,BIG,11.0,,15
8,Rushing 1st downs,The number of times a first down is picked up by a run.,FD,98.0,5.0,23
9,Rushing Fumbles,The number of times there is a run and then the ball is fumbled.,FUM,11.0,,15
10,Rushing Fumbles Lost,The number of times there is a run and then the ball is fumbled.,LST,2.0,,13
11,Rushing Touchdowns,The total number of rushing touchdowns.,TD,12.0,,22
12,Rushing Yards,The total rushing yards.,YDS,1812.0,106.0,24
13,Rushing Yards Per Game,The average number of rushing yards per game.,YDS/G,106.588,,24
14,Stuffs,The number of times a run is stopped at or behind the line of scrimmage.,STF,59.0,,7
15,Stuff Yards Lost,The number of yards lost when a run is stuffed.,SYDSL,-129.0,,30
16,Team Games Played,The numbers of team games played.,GP,17.0,,1
17,Total Offensive Plays,The number of offenseive plays run.,OP,1006.0,58.0,28
18,Total Points,The number of total points earned.,PTS,364.0,21.0,17
19,Total Points Per Game,The average number of points scored per game.,TP/G,21.412,,17
20,Total Touchdowns,The number of total Touchdowns scored.,TD,39.0,2.0,17
21,Total Yards,The number of total yards gained.,TYDS,5627.0,314.0,27
22,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1
23,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTC,-1.0,-1.0,1
24,Two Point Rush,The number of rushes on 2-point attempts.,2PTR,0.0,,14
25,Two Point Rush Attempts,The number of times a 2-point conversion is attempted with a rush.,CMP,0.0,,20
