,displayName,description,abbreviation,value,perGameValue,rank
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,19.0,1.0,18
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,10.0,,10
2,Forced Fumbles,The total number of forced fumbles.,FF,22.0,1.0,9
3,Fumbles Recovered,The number of fumbles recovered.,FR,13.0,1.0,2
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,1.0,,8
5,Games Played,Games Played,GP,17.0,,1
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,0.0,,5
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,1.0,,8
0,Average Gain,The average gained yards per position.,AG,545.769,,22
1,Completion Percentage,The percentage of completed passes.,CMP%,66.538,67.43299865722656,6
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,346.0,20.0,22
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,4441.0,,25
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,1.154,1.2139999866485596,1
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,6.0,,1
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,65.0,33.0,18
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1
8,Net Passing Yards,The amount of net passing yards.,NYDS,3157.0,185.0,26
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,185.70589,,26
10,Net Total Yards,The amount of net total yards.,NTYDS,5676.0,,18
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,333.88235,,18
12,Passing Attempts,The number of times a pass is attempted.,ATT,520.0,30.0,25
13,Passing Big Plays,The number of times a pass results in a big play.,BIGP,28.0,,32
14,Passing 1st downs,The number of times a pass results in a first down.,FIRST,170.0,10.0,24
15,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,9.0,,12
16,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,6.0,,5
17,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,3.269,3.3333334922790527,26
18,Passing Touchdowns,The total number of passing touchdowns.,TD,17.0,1.0,24
19,Passing Yards,The total passing yards.,YDS,3431.0,201.0,27
20,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,1698.0,,22
21,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,1733.0,,27
22,Passing Yards Per Game,The number of passing yards per game.,YDS/G,201.824,,27
23,Passer Rating,Passer Rating,RTG,91.111664,92.51361083984375,114
24,Total Sacks,The total number of sacks.,SACK,49.0,2.0,5
25,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,274.0,16.0,18
26,Net Passing Attempts,Net Passing Attempts.,NATT,569.0,32.0,20
27,Team Games Played,The amount of games played.,TGP,17.0,,1
28,Total Offensive Plays,The number of total offensive plays.,TOP,1089.0,62.0,28
29,Total Points,The number of total points scored.,PTS,365.0,21.0,15
30,Total Points Per Game,The number of points scored per game.,TP,21.471,,15
31,Total Touchdowns,The number of touchdowns scored in total.,TD,40.0,2.0,16
32,Total Yards,The number of yards accumulated in total.,TYDS,5950.0,333.0,18
33,Total Yards From Scrimmage,The amound of total yards from the line of scrimmage.,CMP,0.0,,1
34,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,-1.0,-1.0,1
35,Two Point Pass,The number of times a pass was thrown for 2 points.,2PTP,3.0,,1
36,Two Point Pass Attempts,The number of times a pass was attempted on a 2-point conversion.,2PTPA,5.0,1.0,5
37,Yards From Scrimmage Per Game,The yards gained from scrimmage per game.,SCRIM/G,0.0,,1
38,Yards Per Completion,The average number of yards per pass completion.,CMP,9.916,9.137999534606934,28
39,Yards Per Game,The average number of yards per game.,YDS/G,350.0,,18
