,displayName,description,abbreviation,value,perGameValue,rank
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,22.0,1.0,13
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,6.0,,25
2,Forced Fumbles,The total number of forced fumbles.,FF,15.0,,28
3,Fumbles Recovered,The number of fumbles recovered.,FR,4.0,,31
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,3.0,,1
5,Games Played,Games Played,GP,17.0,,1
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,0.0,,4
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,3.0,,1
0,Average Gain,The average gained yards per position.,AG,586.111,,12
1,Completion Percentage,The percentage of completed passes.,CMP%,62.146,62.26900100708008,25
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,307.0,18.0,31
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,4685.0,,26
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,2.024,1.9119999408721924,11
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,10.0,,6
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,91.0,37.0,1
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1
8,Net Passing Yards,The amount of net passing yards.,NYDS,3404.0,200.0,25
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,200.23529,,25
10,Net Total Yards,The amount of net total yards.,NTYDS,6119.0,,14
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,359.94116,,14
12,Passing Attempts,The number of times a pass is attempted.,ATT,494.0,29.0,32
13,Passing Big Plays,The number of times a pass results in a big play.,BIGP,51.0,,16
14,Passing 1st downs,The number of times a pass results in a first down.,FIRST,167.0,9.0,28
15,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,9.0,,19
16,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,2.0,,27
17,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,4.049,3.4482758045196533,17
18,Passing Touchdowns,The total number of passing touchdowns.,TD,20.0,1.0,25
19,Passing Yards,The total passing yards.,YDS,3585.0,210.0,29
20,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,1741.0,,22
21,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,1844.0,,28
22,Passing Yards Per Game,The number of passing yards per game.,YDS/G,210.882,,29
23,Passer Rating,Passer Rating,RTG,89.1725,88.13092041015625,79
24,Total Sacks,The total number of sacks.,SACK,31.0,1.0,25
25,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,181.0,10.0,5
26,Net Passing Attempts,Net Passing Attempts.,NATT,525.0,30.0,7
27,Team Games Played,The amount of games played.,TGP,17.0,,1
28,Total Offensive Plays,The number of total offensive plays.,TOP,1075.0,62.0,9
29,Total Points,The number of total points scored.,PTS,444.0,27.0,12
30,Total Points Per Game,The number of points scored per game.,TP,26.118,,12
31,Total Touchdowns,The number of touchdowns scored in total.,TD,50.0,2.0,12
32,Total Yards,The number of yards accumulated in total.,TYDS,6300.0,359.0,14
33,Total Yards From Scrimmage,The amound of total yards from the line of scrimmage.,CMP,0.0,,1
34,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,-1.0,-1.0,1
35,Two Point Pass,The number of times a pass was thrown for 2 points.,2PTP,3.0,,3
36,Two Point Pass Attempts,The number of times a pass was attempted on a 2-point conversion.,2PTPA,4.0,1.0,8
37,Yards From Scrimmage Per Game,The yards gained from scrimmage per game.,SCRIM/G,0.0,,1
38,Yards Per Completion,The average number of yards per pass completion.,CMP,11.678,11.190999984741211,6
39,Yards Per Game,The average number of yards per game.,YDS/G,370.588,,14
40,Yards Per Pass Attempt,The average number yards per pass attempt.,AVG,7.257,7.35099983215332,14
41,Net Yards Per Pass Attempt,The average number net yards (taking sack yardage into account) per pass attempt.,NYDS/PA,6.483809523809524,6.666666666666667,3
42,Quarterback Rating,Quarterback Rating.,RAT,89.1725,88.13092041015625,79
0,Average Gain,The average gained yards per position.,AG,586.111,,12
1,ESPN RB Rating,The ESPN Widereceiver Rating.,ESPNRB,3500.0,,1
2,Long Rushing,The amount of yards for the longest run.,LNG,38.0,23.0,26
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1
4,Net Total Yards,The amount of total net yards.,NTYDS,6119.0,,14
5,Net Yards Per Game,The total net yards gained per game.,CMP,359.94116,,14
6,Rushing Attempts,The total number of attempted rushes.,ATT,550.0,32.0,2
7,20+ Yard Rushing Plays,The number of rushing big plays gained.,BIG,17.0,,5
8,Rushing 1st downs,The number of times a first down is picked up by a run.,FD,163.0,9.0,1
9,Rushing Fumbles,The number of times there is a run and then the ball is fumbled.,FUM,17.0,,5
10,Rushing Fumbles Lost,The number of times there is a run and then the ball is fumbled.,LST,3.0,,4
11,Rushing Touchdowns,The total number of rushing touchdowns.,TD,25.0,1.0,1
12,Rushing Yards,The total rushing yards.,YDS,2715.0,159.0,1
13,Rushing Yards Per Game,The average number of rushing yards per game.,YDS/G,159.706,,1
14,Stuffs,The number of times a run is stopped at or behind the line of scrimmage.,STF,43.0,,22
15,Stuff Yards Lost,The number of yards lost when a run is stuffed.,SYDSL,-92.0,,20
16,Team Games Played,The numbers of team games played.,GP,17.0,,1
17,Total Offensive Plays,The number of offenseive plays run.,OP,1075.0,62.0,9
18,Total Points,The number of total points earned.,PTS,444.0,27.0,12
19,Total Points Per Game,The average number of points scored per game.,TP/G,26.118,,12
20,Total Touchdowns,The number of total Touchdowns scored.,TD,50.0,2.0,12
21,Total Yards,The number of total yards gained.,TYDS,6300.0,359.0,14
