,displayName,description,abbreviation,value,perGameValue,rank
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,16.0,1.0,25
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,5.0,,30
2,Forced Fumbles,The total number of forced fumbles.,FF,9.0,,60
3,Fumbles Recovered,The number of fumbles recovered.,FR,3.0,,32
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,0.0,,15
5,Games Played,Games Played,GP,17.0,,1
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,0.0,,5
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,0.0,,15
0,Average Gain,The average gained yards per position.,AG,512.045,,28
1,Completion Percentage,The percentage of completed passes.,CMP%,63.748,63.67399978637695,19
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,364.0,21.0,12
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,4081.0,,28
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,2.452,2.4639999866485596,18
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,14.0,,17
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,57.0,33.0,25
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1
8,Net Passing Yards,The amount of net passing yards.,NYDS,3411.0,200.0,24
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,200.64706,,24
10,Net Total Yards,The amount of net total yards.,NTYDS,5484.0,,23
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,322.58823,,23
12,Passing Attempts,The number of times a pass is attempted.,ATT,571.0,33.0,16
13,Passing Big Plays,The number of times a pass results in a big play.,BIGP,44.0,,23
14,Passing 1st downs,The number of times a pass results in a first down.,FIRST,189.0,11.0,16
15,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,3.0,,32
16,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,2.0,,31
17,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,2.102,,32
18,Passing Touchdowns,The total number of passing touchdowns.,TD,12.0,,32
19,Passing Yards,The total passing yards.,YDS,3661.0,215.0,24
20,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,1435.0,,29
21,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,2226.0,,13
22,Passing Yards Per Game,The number of passing yards per game.,YDS/G,215.353,,24
23,Passer Rating,Passer Rating,RTG,78.71334,72.086669921875,79
24,Total Sacks,The total number of sacks.,SACK,38.0,2.0,17
25,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,250.0,14.0,12
26,Net Passing Attempts,Net Passing Attempts.,NATT,609.0,35.0,33
27,Team Games Played,The amount of games played.,TGP,17.0,,1
28,Total Offensive Plays,The number of total offensive plays.,TOP,1109.0,64.0,23
29,Total Points,The number of total points scored.,PTS,308.0,17.0,26
30,Total Points Per Game,The number of points scored per game.,TP,18.118,,26
31,Total Touchdowns,The number of touchdowns scored in total.,TD,29.0,1.0,28
32,Total Yards,The number of yards accumulated in total.,TYDS,5734.0,322.0,23
33,Total Yards From Scrimmage,The amound of total yards from the line of scrimmage.,CMP,0.0,,1
34,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,-1.0,-1.0,1
35,Two Point Pass,The number of times a pass was thrown for 2 points.,2PTP,3.0,1.0,1
36,Two Point Pass Attempts,The number of times a pass was attempted on a 2-point conversion.,2PTPA,3.0,1.0,12
37,Yards From Scrimmage Per Game,The yards gained from scrimmage per game.,SCRIM/G,0.0,,1
38,Yards Per Completion,The average number of yards per pass completion.,CMP,10.058,9.661999702453613,27
39,Yards Per Game,The average number of yards per game.,YDS/G,337.294,,23
40,Yards Per Pass Attempt,The average number yards per pass attempt.,AVG,6.412,6.53000020980835,28
41,Net Yards Per Pass Attempt,The average number net yards (taking sack yardage into account) per pass attempt.,NYDS/PA,5.600985221674877,5.714285714285714,25
42,Quarterback Rating,Quarterback Rating.,RAT,78.71334,72.086669921875,79
0,Average Gain,The average gained yards per position.,AG,512.045,,28
1,ESPN RB Rating,The ESPN Widereceiver Rating.,ESPNRB,2558.0,,12
2,Long Rushing,The amount of yards for the longest run.,LNG,36.0,18.0,30
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1
4,Net Total Yards,The amount of total net yards.,NTYDS,5484.0,,23
5,Net Yards Per Game,The total net yards gained per game.,CMP,322.58823,,23
6,Rushing Attempts,The total number of attempted rushes.,ATT,500.0,29.0,10
7,20+ Yard Rushing Plays,The number of rushing big plays gained.,BIG,8.0,,23
8,Rushing 1st downs,The number of times a first down is picked up by a run.,FD,129.0,7.0,8
9,Rushing Fumbles,The number of times there is a run and then the ball is fumbled.,FUM,8.0,,23
10,Rushing Fumbles Lost,The number of times there is a run and then the ball is fumbled.,LST,1.0,,21
11,Rushing Touchdowns,The total number of rushing touchdowns.,TD,16.0,,11
12,Rushing Yards,The total rushing yards.,YDS,2073.0,121.0,16
13,Rushing Yards Per Game,The average number of rushing yards per game.,YDS/G,121.941,,16
14,Stuffs,The number of times a run is stopped at or behind the line of scrimmage.,STF,43.0,,25
15,Stuff Yards Lost,The number of yards lost when a run is stuffed.,SYDSL,-90.0,,12
16,Team Games Played,The numbers of team games played.,GP,17.0,,1
17,Total Offensive Plays,The number of offenseive plays run.,OP,1109.0,64.0,23
18,Total Points,The number of total points earned.,PTS,308.0,17.0,26
19,Total Points Per Game,The average number of points scored per game.,TP/G,18.118,,26
20,Total Touchdowns,The number of total Touchdowns scored.,TD,29.0,1.0,28
21,Total Yards,The number of total yards gained.,TYDS,5734.0,322.0,23
22,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1
23,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTC,-1.0,-1.0,1
24,Two Point Rush,The number of rushes on 2-point attempts.,2PTR,0.0,,14
25,Two Point Rush Attempts,The number of times a 2-point conversion is attempted with a rush.,CMP,0.0,,20
26,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1
27,Yards Per Game,The average number of yards per game.,YDS/G,337.294,,23
28,Yards Per Rush Attempt,The average number of yards per rush attempt.,AVG,4.146,4.0980000495910645,25
0,Average Gain,The average gained yards per position.,AG,512.045,,28
1,ESPN Widereceiver Rating,The ESPN Widereceiver Rating.,ESPNWR,5901.0,,25
2,Long Reception,The amount of yards for the longest reception.,LNG,57.0,33.0,25
3,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0.0,,1
4,Net Total Yards,The amount of total net yards.,NTYDS,5484.0,,23
5,Net Yards Per Game,The total net yards gained per game.,CMP,322.58823,,23
6,20+ Yard Receiving Plays,The number of receiving big plays gained.,BIG,44.0,,23
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,189.0,,16
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,3.0,,32
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,2.0,,31
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,548.0,32.0,16
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,12.0,,32
12,Receiving Yards,The total receiving yards.,YDS,3661.0,215.0,24
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,1463.0,86.0,29
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,2198.0,,13
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,215.353,,24
16,Receptions,The total number of receptions.,REC,364.0,21.0,12
17,Team Games Played,The numbers of team games played.,GP,17.0,,1
18,Total Offensive Plays,The number of offenseive plays run.,OP,1109.0,64.0,23
19,Total Points,The number of total points earned.,PTS,308.0,17.0,26
20,Total Points Per Game,The average number of points scored per game.,TP/G,18.118,,26
21,Total Touchdowns,The number of total Touchdowns scored.,TD,29.0,1.0,28
22,Total Yards,The number of total yards gained.,TYDS,5734.0,322.0,23
23,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1
24,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1.0,-1.0,1
25,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,3.0,1.0,1
26,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,3.0,1.0,12
27,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1
28,Yards Per Game,The average number of yards per game.,YDS/G,337.294,,23
29,Yards Per Reception,The average number of yards per reception.,AVG,10.058,10.375,27
0,Assist Tackles,The number of assists on tackles.,AST,476.0,25.0,20
1,Average Interception Yards,The average number of return yards per interception.,AVG,7.6,7.341000080108643,26
2,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,7.175,7.080999851226807,5
3,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,8.821,,5
4,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0.0,,2
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,0.0,,7
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,1.0,,17
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1
8,Kicks Blocked,The number of times a kick was blocked.,KB,3.0,,2
9,Long Interception,The amount of yards of the longest interception return.,LNG,34.0,,26
10,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,0.0,,6
11,Passes Batted Down,The number of passes that were batted down.,BATD,0.0,,1
12,Passes Defended,The total number of passes defended.,PD,82.0,4.0,7
13,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0.0,,1
14,Sacks,The total number of sacks.,SACK,40.0,2.3529999256134033,14
15,Sack Yards,The number of yards lost from sacks.,SCKYDS,287.0,16.881999969482422,12
16,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,0.0,,10
17,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,736.0,38.0,7
18,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,28.0,4.0,28
19,Stuff Yards,The number of yards lost from stuffs.,STFYDS,247.0,,12
20,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,68.0,4.0,25
21,Team Games Played,The numbers of team games played.,GP,17.0,,1
22,Total Tackles,The total number of tackles.,TOT,1212.0,63.0,13
23,Yards Allowed,Yards allowed,YA,0.0,,1
24,Points Allowed,Points allowed,PA,0.0,,1
25,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1
0,Interceptions,The total number of interceptions.,INT,20.0,1.0,1
1,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,1.0,,11
2,Interception Yards,The number of yards gained after an interception.,YDS,152.0,8.0,17
0,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,21.25,14.871999740600586,7
