,displayName,description,abbreviation,value,perGameValue,rank
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,16.0,1.0,25
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,8.0,,20
2,Forced Fumbles,The total number of forced fumbles.,FF,19.0,,10
3,Fumbles Recovered,The number of fumbles recovered.,FR,10.0,1.0,10
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,1.0,,8
5,Games Played,Games Played,GP,17.0,,1
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,0.0,,5
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,1.0,,8
0,Average Gain,The average gained yards per position.,AG,611.811,,5
1,Completion Percentage,The percentage of completed passes.,CMP%,66.016,66.29000091552734,10
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,338.0,19.0,25
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,5879.0,,10
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,1.758,1.534999966621399,7
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,9.0,,3
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,57.0,38.0,25
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1
8,Net Passing Yards,The amount of net passing yards.,NYDS,3856.0,226.0,13
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,226.82353,,13
10,Net Total Yards,The amount of net total yards.,NTYDS,6216.0,,5
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,365.64706,,5
12,Passing Attempts,The number of times a pass is attempted.,ATT,512.0,30.0,26
13,Passing Big Plays,The number of times a pass results in a big play.,BIGP,56.0,,7
14,Passing 1st downs,The number of times a pass results in a first down.,FIRST,188.0,11.0,18
15,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,5.0,,30
16,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,4.0,,21
17,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,5.859,3.3333334922790527,3
18,Passing Touchdowns,The total number of passing touchdowns.,TD,30.0,1.0,4
19,Passing Yards,The total passing yards.,YDS,4049.0,238.0,13
