,displayName,description,abbreviation,value,perGameValue,rank
0,Fumbles,The number of times a player/team has fumbled the ball,FUM,23.0,1.0,8
1,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,12.0,,4
2,Forced Fumbles,The total number of forced fumbles.,FF,11.0,,53
3,Fumbles Recovered,The number of fumbles recovered.,FR,6.0,,28
4,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,1.0,,15
5,Games Played,Games Played,GP,17.0,,1
6,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0.0,,1
7,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,1.0,,1
8,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,0.0,,15
0,Average Gain,The average gained yards per position.,AG,534.995,,24
1,Completion Percentage,The percentage of completed passes.,CMP%,62.5,62.12300109863281,22
2,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,285.0,16.0,29
3,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,4017.0,,29
4,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,2.412,2.744999885559082,16
5,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,11.0,,9
6,Longest Pass,The longest pass play completed in terms of yards.,LNG,69.0,37.0,12
7,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0.0,,1
8,Net Passing Yards,The amount of net passing yards.,NYDS,2914.0,171.0,30
9,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,171.41176,,30
10,Net Total Yards,The amount of net total yards.,NTYDS,5045.0,,30
11,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,296.7647,,30
12,Passing Attempts,The number of times a pass is attempted.,ATT,456.0,26.0,30
13,Passing Big Plays,The number of times a pass results in a big play.,BIGP,41.0,,25
14,Passing 1st downs,The number of times a pass results in a first down.,FIRST,153.0,9.0,28
15,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,7.0,,27
16,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,4.0,,21
17,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,3.509,,22
18,Passing Touchdowns,The total number of passing touchdowns.,TD,16.0,,28
19,Passing Yards,The total passing yards.,YDS,3227.0,189.0,29
20,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,1537.0,,28
21,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,1690.0,,30
22,Passing Yards Per Game,The number of passing yards per game.,YDS/G,189.824,,29
23,Passer Rating,Passer Rating,RTG,85.300835,71.17750549316406,79
24,Total Sacks,The total number of sacks.,SACK,49.0,2.0,5
25,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,313.0,18.0,24
26,Net Passing Attempts,Net Passing Attempts.,NATT,505.0,28.0,25
