,PlayerID,PlayerName,TeamId,TeamName,PassingYards
0,2330,Tom Brady,27,Tampa Bay Buccaneers,5316.0
1,4038941,Justin Herbert,24,Los Angeles Chargers,5014.0
2,12483,Matthew Stafford,14,Los Angeles Rams,4886.0
3,3139477,Patrick Mahomes,12,Kansas City Chiefs,4839.0
4,16757,Derek Carr,18,New Orleans Saints,4804.0
5,3915511,Joe Burrow,4,Cincinnati Bengals,4611.0
6,2577417,Dak Prescott,6,Dallas Cowboys,4449.0
7,3918298,Josh Allen,2,Buffalo Bills,4407.0
8,14880,Kirk Cousins,16,Minnesota Vikings,4221.0
9,8439,Aaron Rodgers,9,Green Bay Packers,4115.0
10,11237,Matt Ryan,11,Indianapolis Colts,3968.0
11,16760,Jimmy Garoppolo,13,Las Vegas Raiders,3810.0
12,4241464,Mac Jones,17,New England Patriots,3801.0
13,3917315,Kyler Murray,22,Arizona Cardinals,3787.0
14,5536,Ben Roethlisberger,23,Pittsburgh Steelers,3740.0
15,14876,Ryan Tannehill,10,Tennessee Titans,3734.0
16,4360310,Trevor Lawrence,30,Jacksonville Jaguars,3641.0
17,2573079,Carson Wentz,28,Washington,3563.0
18,2565969,Taylor Heinicke,1,Atlanta Falcons,3419.0
19,3046779,Jared Goff,8,Detroit Lions,3245.0
20,4040715,Jalen Hurts,21,Philadelphia Eagles,3144.0
21,14881,Russell Wilson,7,Denver Broncos,3113.0
22,16728,Teddy Bridgewater,15,Miami Dolphins,3052.0
23,3052587,Baker Mayfield,27,Tampa Bay Buccaneers,3010.0
24,3916387,Lamar Jackson,33,Baltimore Ravens,2882.0
25,4242546,Davis Mills,34,Houston Texans,2664.0
26,4241479,Tua Tagovailoa,15,Miami Dolphins,2653.0
27,3912547,Sam Darnold,25,San Francisco 49ers,2527.0
28,3917792,Daniel Jones,19,New York Giants,2428.0
29,4361259,Zach Wilson,20,New York Jets,2334.0
30,4362887,Justin Fields,3,Chicago Bears,1870.0
31,14012,Andy Dalton,29,Carolina Panthers,1515.0
32,2578570,Jacoby Brissett,28,Washington,1283.0
33,2969939,Jameis Winston,18,New Orleans Saints,1170.0
34,2511109,Trevor Siemian,3,Chicago Bears,1154.0
35,4035671,Tyler Huntley,33,Baltimore Ravens,1081.0
36,2468609,Taysom Hill,18,New Orleans Saints,978.0
37,14163,Tyrod Taylor,19,New York Giants,966.0
38,3051381,Mike White,15,Miami Dolphins,953.0
39,15837,Mike Glennon,15,Miami Dolphins,790.0
40,3924327,Drew Lock,26,Seattle Seahawks,787.0
41,13199,Colt McCoy,22,Arizona Cardinals,740.0
42,15864,Geno Smith,26,Seattle Seahawks,702.0
43,13994,Cam Newton,29,Carolina Panthers,684.0
44,11394,Josh Johnson,25,San Francisco 49ers,638.0
45,4383351,Trey Lance,25,San Francisco 49ers,603.0
46,3045169,Tim Boyle,3,Chicago Bears,526.0
47,15168,Case Keenum,34,Houston Texans,462.0
48,4038524,Gardner Minshew,11,Indianapolis Colts,439.0
49,2972515,Cooper Rush,6,Dallas Cowboys,422.0
